,city,state,restaurant,calification,number_of_reviwes,ranking,address,web_site,latitude,longitude
0,Ciudad de México,, La Mansion Marriott Reforma,5.0,"1,014",#2,"Paseo de la Reforma 276 Col. Juarez, Mexico City Marriott Reforma Hotel, Ciudad de México 06600 México",http://www.facebook.com/mansionmarriottreforma,19.428345,-99.16426
1,Ciudad de México,, Balta,5.0,490,#1,"Avenida Paseo de La Reforma 297 Colonia Cuauhtémoc, Ciudad de México 06500 México",http://www.sofitel-mexico-city.com/restaurants/balta-restaurant/,19.428432,-99.16592
2,Ciudad de México,, Condimento Restaurant,5.0,720,#3,"Avenida Paseo de La Reforma 276 Mexico City Marriott Reforma Hotel, Ciudad de México 06600 México",http://www.marriott.com/hotels/hotel-information/restaurant/MEXMC&scid=d42e66eb-35c2-4d9c-9219-ae39f3a2ca9f,19.427828,-99.164024
3,Ciudad de México,, La Distral,5.0,382,#4,"Avenida Paseo de La Reforma 80 En el Hotel Fiesta Americana Reforma, Ciudad de México 06600 México",http://www.fiestamericana.com/hoteles-y-resorts/fiesta-americana-reforma-ciudad-de-mexico/hotel-dining/la-distral,19.433002,-99.15458
4,Ciudad de México,, Restaurante Condimento Emporio Reforma,5.0,507,#5,"Av. Paseo De La Reforma 124, Col. Juárez Piso 1, Ciudad de México 06600 México",http://hotelesemporio.com/hoteles/emporio-ciudad-de-mexico/,19.431667,-99.157
5,Ciudad de México,, Parole Polanco,5.0,"1,481",#6,"Av. Emilio Castelar 163, Colonia Polanco III, Ciudad de México 11540 México",http://parole.mx/en/location-cdmx-restaurant,19.430412,-99.1994
6,Ciudad de México,, Sonora Grill Coapa,5.0,736,#7,"Calzada Acoxpa 610, Colonia Villa Coapa, Tlalpan, Ciudad de México 14390 México",http://sonoragrill.com.mx,19.294357,-99.12684
7,Ciudad de México,, Taquería y Restaurante Takotl,5.0,152,#8,"Avenida Insurgentes sur 275 Roma Nte., Cuauhtémoc, Ciudad de México 06700 México",http://linkreview.biz/mx/takotl,19.416248,-99.16546
8,Ciudad de México,, Zefiro,5.0,819,#9,"San Jerónimo 24 Centro Historico, Ciudad de México 06080 México",http://www.elclaustro.edu.mx/zefiro/,19.427332,-99.1382
