,city,href,state
25,Cuernavaca,/Restaurants-g150797-Cuernavaca_Central_Mexico_and_Gulf_Coast.html, Morelos 
26,La Paz,/Restaurants-g150771-La_Paz_Baja_California.html, Baja California Sur 
27,Zihuatanejo de Azueta,/Restaurants-g15131654-Zihuatanejo_de_Azueta_Pacific_Coast.html, Guerrero 
28,Chihuahua,/Restaurants-g1028202-Chihuahua_Northern_Mexico.html, Chihuahua 
29,Hermosillo,/Restaurants-g153979-Hermosillo_Northern_Mexico.html, Sonora 
30,Guanajuato,/Restaurants-g150799-Guanajuato_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
31,Tuxtla Gutiérrez,/Restaurants-g317142-Tuxtla_Gutierrez_Southern_Mexico.html, Chiapas 
32,Mexicali,/Restaurants-g154247-Mexicali_Baja_California.html, Baja California Norte 
33,Villahermosa,/Restaurants-g249850-Villahermosa_Central_Mexico_and_Gulf_Coast.html, Tabasco 
34,Ciudad Juárez,/Restaurants-g150780-Ciudad_Juarez_Northern_Mexico.html, Chihuahua 
35,Xalapa,/Restaurants-g154235-Xalapa_Central_Mexico_and_Gulf_Coast.html, Veracruz 
36,Culiacán,/Restaurants-g150781-Culiacan_Pacific_Coast.html, Sinaloa 
37,Saltillo,/Restaurants-g150785-Saltillo_Northern_Mexico.html, Coahuila 
38,Veracruz,/Restaurants-g150804-Veracruz_Central_Mexico_and_Gulf_Coast.html, Veracruz 
39,Puerto Escondido,/Restaurants-g153373-Puerto_Escondido_Southern_Mexico.html, Oaxaca 
40,Toluca,/Restaurants-g644384-Toluca_Central_Mexico_and_Gulf_Coast.html, Estado de México 
41,Metepec,/Restaurants-g1065261-Metepec_Central_Mexico_and_Gulf_Coast.html, Estado de México 
42,Isla Mujeres,/Restaurants-g150810-Isla_Mujeres_Yucatan_Peninsula.html, Quintana Roo 
43,Huatulco,/Restaurants-g150789-Huatulco_Southern_Mexico.html, Oaxaca 
44,Naucalpan de Juárez,/Restaurants-g499418-Naucalpan_Central_Mexico_and_Gulf_Coast.html, Estado de México 
45,Torreón,/Restaurants-g499442-Torreon_Northern_Mexico.html, Coahuila 
46,Manzanillo,/Restaurants-g150791-Manzanillo_Pacific_Coast.html, Colima 
47,Pachuca,/Restaurants-g317137-Pachuca_Central_Mexico_and_Gulf_Coast.html, Hidalgo 
48,Colima,/Restaurants-g153983-Colima_Pacific_Coast.html, Colima 
49,Puerto Morelos,/Restaurants-g240327-Puerto_Morelos_Yucatan_Peninsula.html, Riviera Maya 
50,Zacatecas,/Restaurants-g152772-Zacatecas_Central_Mexico_and_Gulf_Coast.html, Zacatecas 
51,Campeche,/Restaurants-g1632078-Campeche_Yucatan_Peninsula.html, Campeche 
52,Valladolid,/Restaurants-g499453-Valladolid_Yucatan_Peninsula.html, Yucatán 
53,Boca del Río,/Restaurants-g154245-Boca_del_Rio_Central_Mexico_and_Gulf_Coast.html, Veracruz 
54,Tampico,/Restaurants-g151928-Tampico_Northern_Mexico.html, Tamaulipas 
55,Durango,/Restaurants-g153978-Durango_Northern_Mexico.html, Durango 
56,Tepic,/Restaurants-g499444-Tepic_Pacific_Coast.html, Nayarit 
57,Puerto Peñasco,/Restaurants-g153981-Puerto_Penasco_Northern_Mexico.html, Sonora 
58,Nuevo Vallarta,/Restaurants-g154267-Nuevo_Vallarta_Pacific_Coast.html, Riviera Nayarit 
59,Chetumal,/Restaurants-g317139-Chetumal_Yucatan_Peninsula.html, Quintana Roo 
60,Sayulita,/Restaurants-g445056-Sayulita_Pacific_Coast.html, Riviera Nayarit 
61,Valle de Bravo,/Restaurants-g499427-Valle_de_Bravo_Central_Mexico_and_Gulf_Coast.html, Estado de México 
62,Irapuato,/Restaurants-g858499-Irapuato_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
63,Bucerías,/Restaurants-g657267-Bucerias_Pacific_Coast.html, Riviera Nayarit 
64,Bacalar,/Restaurants-g1202648-Bacalar_Yucatan_Peninsula.html, Quintana Roo 
65,Ajijic,/Restaurants-g499405-Ajijic.html, Jalisco 
66,osarito,/Restaurants-g150774-Rosarito_Baja_California.html, Baja California Norte 
67,Celaya,/Restaurants-g777802-Celaya_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
68,Orizaba,/Restaurants-g1082256-Orizaba_Central_Mexico_and_Gulf_Coast.html, Veracruz 
69,San Andrés Cholula,/Restaurants-g11804695-San_Andres_Cholula_Central_Mexico_and_Gulf_Coast.html, Puebla 
70,San Pedro Cholula,/Restaurants-g609126-San_Pedro_Cholula_Central_Mexico_and_Gulf_Coast.html, Puebla 
71,Isla Holbox,/Restaurants-g616319-Holbox_Island_Yucatan_Peninsula.html, Quintana Roo 
72,Los Mochis,/Restaurants-g319820-Los_Mochis_Pacific_Coast.html, Sinaloa 
73,Tlalnepantla,/Restaurants-g850697-Tlalnepantla_Central_Mexico_and_Gulf_Coast.html, Estado de México 
74,Tequisquiapan,/Restaurants-g1101793-Tequisquiapan_Central_Mexico_and_Gulf_Coast.html, Querétaro 
75,Tlaquepaque,/Restaurants-g659617-Tlaquepaque_Guadalajara_Metropolitan_Area.html, Zona Metropolitana de Guadalajara 
76,Ciudad del Carmen,/Restaurants-g317140-Ciudad_del_Carmen_Yucatan_Peninsula.html, Campeche 
77,Tlaxcala,/Restaurants-g499425-Tlaxcala_Central_Mexico_and_Gulf_Coast.html, Tlaxcala 
78,San Juan del Río,/Restaurants-g317138-San_Juan_del_Rio_Central_Mexico_and_Gulf_Coast.html, Querétaro 
79,San Miguel de Cozumel,/Restaurants-g13882869-San_Miguel_de_Cozumel_Cozumel_Yucatan_Peninsula.html, Cozumel 
80,Comitán,/Restaurants-g1732578-Comitan_Southern_Mexico.html, Chiapas 
81,Todos Santos,/Restaurants-g150777-Todos_Santos_Baja_California.html, Baja California Sur 
82,Tepoztlán,/Restaurants-g616313-Tepoztlan_Central_Mexico_and_Gulf_Coast.html, Morelos 
83,Ciudad Guzmán,/Restaurants-g2151449-Ciudad_Guzman.html, Jalisco 
84,Tapachula,/Restaurants-g317141-Tapachula_Southern_Mexico.html, Chiapas 
85,Atizapán de Zaragoza,/Restaurants-g4187137-Atizapan_de_Zaragoza_Central_Mexico_and_Gulf_Coast.html, Estado de México 
86,Loreto,/Restaurants-g150772-Loreto_Baja_California.html, Baja California Sur 
87,San Nicolás de los Garza,/Restaurants-g2333987-San_Nicolas_de_los_Garza_Northern_Mexico.html, Nuevo Leon 
88,Ciudad Obregón,/Restaurants-g499433-Ciudad_Obregon_Northern_Mexico.html, Sonora 
89,Córdoba,/Restaurants-g660265-Cordoba_Central_Mexico_and_Gulf_Coast.html, Veracruz 
90,ynosa,/Restaurants-g499440-Reynosa_Northern_Mexico.html, Tamaulipas 
91,Progreso,/Restaurants-g668864-Progreso_Yucatan_Peninsula.html, Yucatán 
92,Tlajomulco de Zúñiga,/Restaurants-g4278022-Tlajomulco_de_Zuniga_Guadalajara_Metropolitan_Area.html, Zona Metropolitana de Guadalajara 
93,Valle de Guadalupe,/Restaurants-g499403-Valle_de_Guadalupe_Ensenada_Municipality_Baja_California.html, Municipio de Ensenada 
94,Coatzacoalcos,/Restaurants-g499410-Coatzacoalcos_Central_Mexico_and_Gulf_Coast.html, Veracruz 
95,Ciudad Valles,/Restaurants-g499409-Ciudad_Valles_Central_Mexico_and_Gulf_Coast.html, San Luis Potosí 
96,Palenque,/Restaurants-g249851-Palenque_Southern_Mexico.html, Chiapas 
97,Mahahual,/Restaurants-g499450-Mahahual_Costa_Maya_Yucatan_Peninsula.html, Costa Maya 
98,Guadalupe,/Restaurants-g3343018-Guadalupe_Northern_Mexico.html, Nuevo Leon 
99,Taxco,/Restaurants-g150803-Taxco_Pacific_Coast.html, Guerrero 
100,Huixquilucan,/Restaurants-g3176878-Huixquilucan_Central_Mexico_and_Gulf_Coast.html, Estado de México 
101,Salamanca,/Restaurants-g777805-Salamanca_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
102,Chapala,/Restaurants-g2371486-Chapala.html, Jalisco 
103,Cuatitlán Izcalli,/Restaurants-g3178971-Cuautitlan_Izcalli_Central_Mexico_and_Gulf_Coast.html, Estado de México 
104,Apodaca,/Restaurants-g1136270-Apodaca_Northern_Mexico.html, Nuevo Leon 
105,Pátzcuaro,/Restaurants-g499420-Patzcuaro_Central_Mexico_and_Gulf_Coast.html, Michoacán 
106,Uruapan,/Restaurants-g658423-Uruapan_Central_Mexico_and_Gulf_Coast.html, Michoacán 
107,Matamoros,/Restaurants-g499436-Matamoros_Northern_Mexico.html, Tamaulipas 
108,Punta de Mita,/Restaurants-g499443-Punta_de_Mita_Pacific_Coast.html, Riviera Nayarit 
109,Texcoco,/Restaurants-g2640759-Texcoco_Central_Mexico_and_Gulf_Coast.html, Estado de México 
110,Cuautla,/Restaurants-g777811-Cuautla_Central_Mexico_and_Gulf_Coast.html, Morelos 
111,Tecate,/Restaurants-g499402-Tecate_Baja_California.html, Baja California Norte 
112,Puerto Aventuras,/Restaurants-g153510-Puerto_Aventuras_Yucatan_Peninsula.html, Riviera Maya 
113,Tepatitlán de Morelos,/Restaurants-g2048993-Tepatitlan_de_Morelos.html, Jalisco 
114,Coatepec,/Restaurants-g667449-Coatepec_Central_Mexico_and_Gulf_Coast.html, Veracruz 
115,Atlixco,/Restaurants-g1941253-Atlixco_Central_Mexico_and_Gulf_Coast.html, Puebla 
116,Cuauhtémoc,/Restaurants-g1656804-Cuauhtemoc_Northern_Mexico.html, Chihuahua 
117,Dolores Hidalgo,/Restaurants-g499412-Dolores_Hidalgo_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
118,Mazunte,/Restaurants-g658264-Mazunte_Southern_Mexico.html, Oaxaca 
119,Tulancingo,/Restaurants-g2044808-Tulancingo_Central_Mexico_and_Gulf_Coast.html, Hidalgo 
120,Nuevo Laredo,/Restaurants-g150784-Nuevo_Laredo_Northern_Mexico.html, Tamaulipas 
121,Nogales,/Restaurants-g150783-Nogales_Northern_Mexico.html, Sonora 
122,La Cruz de Huanacaxtle,/Restaurants-g1026781-La_Cruz_de_Huanacaxtle_Pacific_Coast.html, Riviera Nayarit 
123,San Pancho,/Restaurants-g552077-San_Francisco_Pacific_Coast.html, Riviera Nayarit 
124,Lagos de Moreno,/Restaurants-g499415-Lagos_de_Moreno.html, Jalisco 
125,Ciudad Victoria,/Restaurants-g499434-Ciudad_Victoria_Northern_Mexico.html, Tamaulipas 
126,Ciudad Madero,/Restaurants-g3733916-Ciudad_Madero_Northern_Mexico.html, Tamaulipas 
127,San Juan Teotihuacán,/Restaurants-g499421-San_Juan_Teotihuacan_Central_Mexico_and_Gulf_Coast.html, Estado de México 
128,Piedras Negras,/Restaurants-g499439-Piedras_Negras_Northern_Mexico.html, Coahuila 
129,Tequila,/Restaurants-g775272-Tequila.html, Jalisco 
130,Zacatlán,/Restaurants-g2440580-Zacatlan_Central_Mexico_and_Gulf_Coast.html, Puebla 
131,San Carlos,/Restaurants-g151933-San_Carlos_Northern_Mexico.html, Sonora 
132,Ixtapan de la Sal,/Restaurants-g317136-Ixtapan_de_la_Sal_Central_Mexico_and_Gulf_Coast.html, Estado de México 
133,Zamora de Hidalgo,/Restaurants-g1728850-Zamora_de_Hidalgo_Central_Mexico_and_Gulf_Coast.html, Michoacán 
134,Santiago,/Restaurants-g1205795-Santiago_Northern_Mexico.html, Nuevo Leon 
135,Monclova,/Restaurants-g499437-Monclova_Northern_Mexico.html, Coahuila 
136,Tehuacán,/Restaurants-g1065260-Tehuacan_Central_Mexico_and_Gulf_Coast.html, Puebla 
137,Arandas,/Restaurants-g1888686-Arandas.html, Jalisco 
138,Ciudad Nezahualcóyotl,/Restaurants-g1074309-Ciudad_Nezahualcoyotl_Central_Mexico_and_Gulf_Coast.html, Estado de México 
139,Malinalco,/Restaurants-g1727977-Malinalco_Central_Mexico_and_Gulf_Coast.html, Estado de México 
140,Zipolite,/Restaurants-g1515813-Zipolite_Southern_Mexico.html, Oaxaca 
141,Poza Rica,/Restaurants-g1202655-Poza_Rica_Central_Mexico_and_Gulf_Coast.html, Veracruz 
142,San Luis Río Colorado,/Restaurants-g1753703-San_Luis_Rio_Colorado_Northern_Mexico.html, Sonora 
143,Tepotzotlán,/Restaurants-g1918646-Tepotzotlan_Central_Mexico_and_Gulf_Coast.html, Estado de México 
144,Municipio de Tuxpan,/Restaurants-g14977316-Tuxpan_Municipality_Central_Mexico_and_Gulf_Coast.html, Veracruz 
145,Apizaco,/Restaurants-g3181075-Apizaco_Central_Mexico_and_Gulf_Coast.html, Tlaxcala 
146,Guaymas,/Restaurants-g151934-Guaymas_Northern_Mexico.html, Sonora 
147,incón de Guayabitos,/Restaurants-g552078-Rincon_de_Guayabitos_Pacific_Coast.html, Riviera Nayarit 
148,Holbox,/Restaurants-g15327568-Holbox_Holbox_Island_Yucatan_Peninsula.html, Isla Holbox 
149,Tula de Allende,/Restaurants-g644393-Tula_de_Allende_Central_Mexico_and_Gulf_Coast.html, Hidalgo 
150,Ecatepec,/Restaurants-g3178980-Ecatepec_Central_Mexico_and_Gulf_Coast.html, Estado de México 
151,Heroica Caborca,/Restaurants-g1150269-Heroica_Caborca_Northern_Mexico.html, Sonora 
152,San Felipe,/Restaurants-g150775-San_Felipe_Baja_California.html, Baja California Norte 
153,Tonalá,/Restaurants-g499426-Tonala_Guadalajara_Metropolitan_Area.html, Zona Metropolitana de Guadalajara 
154,Mazamitla,/Restaurants-g666387-Mazamitla.html, Jalisco 
155,Los Barriles,/Restaurants-g1544261-Los_Barriles_Baja_California.html, Baja California Sur 
156,Minatitlán,/Restaurants-g1065258-Minatitlan_Central_Mexico_and_Gulf_Coast.html, Veracruz 
157,Melaque,/Restaurants-g1015430-Melaque_Costalegre.html, Costalegre 
158,Akumal,/Restaurants-g499445-Akumal_Yucatan_Peninsula.html, Riviera Maya 
159,Tapalpa,/Restaurants-g670009-Tapalpa.html, Jalisco 
160,Escobedo,/Restaurants-g3194228-Escobedo_Northern_Mexico.html, Nuevo Leon 
161,Barra de Navidad,/Restaurants-g153292-Barra_de_Navidad_Costalegre.html, Costalegre 
162,Silao,/Restaurants-g858493-Silao_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
163,Iguala,/Restaurants-g652399-Iguala_Pacific_Coast.html, Guerrero 
164,Guadalupe,/Restaurants-g8521595-Guadalupe_Central_Mexico_and_Gulf_Coast.html, Zacatecas 
165,Parras de la Fuente,/Restaurants-g499438-Parras_de_la_Fuente_Northern_Mexico.html, Coahuila 
166,Chilpancingo de los Bravo,/Restaurants-g735431-Chilpancingo_de_los_Bravo_Pacific_Coast.html, Guerrero 
167,Playas de Rosarito,/Restaurants-g14941161-Playas_de_Rosarito_Baja_California.html, Baja California Norte 
168,Comala,/Restaurants-g1744419-Comala_Pacific_Coast.html, Colima 
169,San Juan de los Lagos,/Restaurants-g2312118-San_Juan_de_Los_Lagos.html, Jalisco 
170,Coacalco,/Restaurants-g7262249-Coacalco_Central_Mexico_and_Gulf_Coast.html, Estado de México 
171,El Pescadero,/Restaurants-g1636027-El_Pescadero_Baja_California.html, Baja California Sur 
172,Mineral del Monte,/Restaurants-g1745444-Mineral_del_Monte_Central_Mexico_and_Gulf_Coast.html, Hidalgo 
173,Bernal,/Restaurants-g1535336-Bernal_Central_Mexico_and_Gulf_Coast.html, Querétaro 
174,Municipio de Lázaro Cárdenas,/Restaurants-g14976653-Lazaro_Cardenas_Municipality_Central_Mexico_and_Gulf_Coast.html, Michoacán 
175,Ciudad Satélite,/Restaurants-g11807337-Ciudad_Satelite_Central_Mexico_and_Gulf_Coast.html, Estado de México 
176,Ocotlán,/Restaurants-g1602409-Ocotlan.html, Jalisco 
177,Corregidora,/Restaurants-g14001649-Corregidora_Central_Mexico_and_Gulf_Coast.html, Querétaro 
178,Salina Cruz,/Restaurants-g3176955-Salina_Cruz_Southern_Mexico.html, Oaxaca 
179,Guerrero Negro,/Restaurants-g499400-Guerrero_Negro_Baja_California.html, Baja California Sur 
180,Zapotlanejo,/Restaurants-g1673162-Zapotlanejo.html, Jalisco 
181,Navojoa,/Restaurants-g1675339-Navojoa_Northern_Mexico.html, Sonora 
182,Ocoyoacac,/Restaurants-g2167709-Ocoyoacac_Central_Mexico_and_Gulf_Coast.html, Estado de México 
183,Xilitla,/Restaurants-g635968-Xilitla_Central_Mexico_and_Gulf_Coast.html, San Luis Potosí 
184,Huamantla,/Restaurants-g499413-Huamantla_Central_Mexico_and_Gulf_Coast.html, Tlaxcala 
185,Paraíso,/Restaurants-g1836971-Paraiso_Central_Mexico_and_Gulf_Coast.html, Tabasco 
186,Villa de Álvarez,/Restaurants-g3160464-Villa_de_Alvarez_Pacific_Coast.html, Colima 
187,Tizimín,/Restaurants-g1632775-Tizimin_Yucatan_Peninsula.html, Yucatán 
188,Chiapa de Corzo,/Restaurants-g499408-Chiapa_de_Corzo_Southern_Mexico.html, Chiapas 
189,La Peñita de Jaltemba,/Restaurants-g644395-La_Penita_de_Jaltemba_Pacific_Coast.html, Riviera Nayarit 
190,Calvillo,/Restaurants-g2205583-Calvillo_Central_Mexico_and_Gulf_Coast.html, Aguascalientes 
191,Municipio de Hermosillo,/Restaurants-g14977095-Hermosillo_Municipality_Northern_Mexico.html, Sonora 
192,Cuetzalán del Progreso,/Restaurants-g1065259-Cuetzalan_del_Progreso_Central_Mexico_and_Gulf_Coast.html, Puebla 
193,Delicias,/Restaurants-g1137948-Delicias_Northern_Mexico.html, Chihuahua 
194,La Piedad,/Restaurants-g499414-La_Piedad_Central_Mexico_and_Gulf_Coast.html, Michoacán 
195,Tecolutla,/Restaurants-g1202653-Tecolutla_Central_Mexico_and_Gulf_Coast.html, Veracruz 
196,Nuevo Casas Grandes,/Restaurants-g1137950-Nuevo_Casas_Grandes_Northern_Mexico.html, Chihuahua 
197,Santa Catarina,/Restaurants-g3194248-Santa_Catarina_Northern_Mexico.html, Nuevo Leon 
198,Brisas de Zicatela,/Restaurants-g7683993-Brisas_de_Zicatela_Southern_Mexico.html, Oaxaca 
199,Costa Mujeres,/Restaurants-g23328775-Costa_Mujeres_Yucatan_Peninsula.html, Quintana Roo 
200,Hidalgo del Parral,/Restaurants-g659933-Hidalgo_del_Parral_Northern_Mexico.html, Chihuahua 
201,Ocosingo,/Restaurants-g1651237-Ocosingo_Southern_Mexico.html, Chiapas 
202,Troncones,/Restaurants-g445057-Troncones_Pacific_Coast.html, Guerrero 
203,Zitácuaro,/Restaurants-g499428-Zitacuaro_Central_Mexico_and_Gulf_Coast.html, Michoacán 
204,Ciudad Acuña,/Restaurants-g499432-Ciudad_Acuna_Northern_Mexico.html, Coahuila 
205,Amealco de Bonfil,/Restaurants-g616314-Amealco_de_Bonfil_Central_Mexico_and_Gulf_Coast.html, Querétaro 
206,Yelapa,/Restaurants-g504234-Yelapa_Costalegre.html, Costalegre 
207,Valle de Santiago,/Restaurants-g1048632-Valle_de_Santiago_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
208,Jocotepec,/Restaurants-g667915-Jocotepec.html, Jalisco 
209,Solidaridad,/Restaurants-g12900715-Solidaridad_Yucatan_Peninsula.html, Quintana Roo 
210,Papantla,/Restaurants-g1202651-Papantla_Central_Mexico_and_Gulf_Coast.html, Veracruz 
211,Fresnillo,/Restaurants-g3181080-Fresnillo_Central_Mexico_and_Gulf_Coast.html, Zacatecas 
212,Amecameca,/Restaurants-g670639-Amecameca_Central_Mexico_and_Gulf_Coast.html, Estado de México 
213,Salvatierra,/Restaurants-g1961269-Salvatierra_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
214,Cholula,/Restaurants-g10796331-Cholula_Central_Mexico_and_Gulf_Coast.html, Puebla 
215,Chelem,/Restaurants-g1205929-Chelem_Yucatan_Peninsula.html, Yucatán 
216,Izamal,/Restaurants-g616322-Izamal_Yucatan_Peninsula.html, Yucatán 
217,San Sebastián del Oeste,/Restaurants-g2080701-San_Sebastian_del_Oeste.html, Jalisco 
218,San Antonio Tlayacapan,/Restaurants-g7008636-San_Antonio_Tlayacapan.html, Jalisco 
219,Cabo Corrientes,/Restaurants-g4004460-Cabo_Corrientes.html, Jalisco 
220,La Manzanilla,/Restaurants-g793333-La_Manzanilla_Costalegre.html, Costalegre 
221,San Blas,/Restaurants-g150794-San_Blas_Pacific_Coast.html, Riviera Nayarit 
222,Lerma,/Restaurants-g3799417-Lerma_Central_Mexico_and_Gulf_Coast.html, Estado de México 
223,Mulegé,/Restaurants-g153974-Mulege_Baja_California.html, Baja California Sur 
224,Alvarado,/Restaurants-g1729203-Alvarado_Central_Mexico_and_Gulf_Coast.html, Veracruz 
225,Ciudad Constitución,/Restaurants-g1967113-Ciudad_Constitucion_Baja_California.html, Baja California Sur 
226,Gómez Palacio,/Restaurants-g1137945-Gomez_Palacio_Northern_Mexico.html, Durango 
227,Champotón,/Restaurants-g1026030-Champoton_Yucatan_Peninsula.html, Campeche 
228,Xochitepec,/Restaurants-g1193255-Xochitepec_Central_Mexico_and_Gulf_Coast.html, Morelos 
229,Chignahuapan,/Restaurants-g2561388-Chignahuapan_Central_Mexico_and_Gulf_Coast.html, Puebla 
230,Huasca de Ocampo,/Restaurants-g2227707-Huasca_de_Ocampo_Central_Mexico_and_Gulf_Coast.html, Hidalgo 
231,Huauchinango,/Restaurants-g3180204-Huauchinango_Central_Mexico_and_Gulf_Coast.html, Puebla 
232,Ixmiquilpan,/Restaurants-g1820429-Ixmiquilpan_Central_Mexico_and_Gulf_Coast.html, Hidalgo 
233,Tlayacapan,/Restaurants-g1570829-Tlayacapan_Central_Mexico_and_Gulf_Coast.html, Morelos 
234,Jerez de García Salinas,/Restaurants-g1927331-Jerez_de_Garcia_Salinas_Central_Mexico_and_Gulf_Coast.html, Zacatecas 
235,Tecomán,/Restaurants-g1728847-Tecoman_Pacific_Coast.html, Colima 
236,Tenancingo,/Restaurants-g2095545-Tenancingo_Central_Mexico_and_Gulf_Coast.html, Estado de México 
237,El Oro,/Restaurants-g3178983-El_Oro_Central_Mexico_and_Gulf_Coast.html, Estado de México 
238,Catemaco,/Restaurants-g1729201-Catemaco_Central_Mexico_and_Gulf_Coast.html, Veracruz 
239,San Andrés Tuxtla,/Restaurants-g1729205-San_Andres_Tuxtla_Central_Mexico_and_Gulf_Coast.html, Veracruz 
240,Creel,/Restaurants-g1027238-Creel_Copper_Canyon_Northern_Mexico.html, Copper Canyon 
241,Cobá,/Restaurants-g499447-Coba_Yucatan_Peninsula.html, Quintana Roo 
242,Chalco,/Restaurants-g3178946-Chalco_Central_Mexico_and_Gulf_Coast.html, Estado de México 
243,Xpujil Town,/Restaurants-g635715-Xpujil_Town_Yucatan_Peninsula.html, Campeche 
244,San José Iturbide,/Restaurants-g3179424-San_Jose_Iturbide_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
245,San Francisco del Rincón,/Restaurants-g1551540-San_Francisco_del_Rincon_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
246,Huajuapan de León,/Restaurants-g1787128-Huajuapan_de_Leon_Southern_Mexico.html, Oaxaca 
247,Montemorelos,/Restaurants-g3194242-Montemorelos_Northern_Mexico.html, Nuevo Leon 
248,Matehuala,/Restaurants-g499417-Matehuala_Central_Mexico_and_Gulf_Coast.html, San Luis Potosí 
249,Guasave,/Restaurants-g1576931-Guasave_Pacific_Coast.html, Sinaloa 
250,Teocaltiche,/Restaurants-g3160449-Teocaltiche.html, Jalisco 
251,ío Verde,/Restaurants-g3181066-Rio_Verde_Central_Mexico_and_Gulf_Coast.html, San Luis Potosí 
252,San Miguel Zinacantepec,/Restaurants-g1987398-San_Miguel_Zinacantepec_Central_Mexico_and_Gulf_Coast.html, Estado de México 
253,Santa Rosalía,/Restaurants-g609125-Santa_Rosalia_Baja_California.html, Baja California Sur 
254,San Patricio,/Restaurants-g1725334-San_Patricio.html, Jalisco 
255,Tizayuca,/Restaurants-g3179505-Tizayuca_Central_Mexico_and_Gulf_Coast.html, Hidalgo 
256,Mascota,/Restaurants-g1928238-Mascota.html, Jalisco 
257,Municipio de Toluca,/Restaurants-g14972068-Toluca_Municipality_Central_Mexico_and_Gulf_Coast.html, Estado de México 
258,Celestún,/Restaurants-g664925-Celestun_Yucatan_Peninsula.html, Yucatán 
259,Autlán de Navarro,/Restaurants-g1785157-Autlan_de_Navarro.html, Jalisco 
260,Teziutlán,/Restaurants-g3180224-Teziutlan_Central_Mexico_and_Gulf_Coast.html, Puebla 
261,Ciudad Hidalgo,/Restaurants-g3160048-Ciudad_Hidalgo_Central_Mexico_and_Gulf_Coast.html, Michoacán 
262,Escárcega,/Restaurants-g1632727-Escarcega_Yucatan_Peninsula.html, Campeche 
263,Jiutepec,/Restaurants-g2550249-Jiutepec_Central_Mexico_and_Gulf_Coast.html, Morelos 
264,Lo de Marcos,/Restaurants-g2367946-Lo_de_Marcos_Pacific_Coast.html, Nayarit 
265,Acámbaro,/Restaurants-g3179059-Acambaro_Central_Mexico_and_Gulf_Coast.html, Guanajuato 
266,Puerto Nuevo,/Restaurants-g580456-Puerto_Nuevo_Baja_California.html, Baja California Norte 
267,Xico,/Restaurants-g1915759-Xico_Central_Mexico_and_Gulf_Coast.html, Veracruz 
268,San Agustinillo,/Restaurants-g674764-San_Agustinillo_Southern_Mexico.html, Oaxaca 
269,Ezequiel Montes,/Restaurants-g1961265-Ezequiel_Montes_Central_Mexico_and_Gulf_Coast.html, Querétaro 
